Module,Screen,Issue,Steps to Reproduce,Priority,Severity,Evidence,Status,Retesting Remarks,Evidence,Status,Working On,Retesting Remarks,Retesting Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Edit Profile,"Security Issue: Application fails to request necessary permissions from the user
                        when accessing “Gallery“",Profile >> Edit Profile >> Edit DP >> Gallery,High,High,XRecorder_05082023_143927.mp4,Working..,Reopened,XRecorder_18082023_155112.mp4,Done,Ravindra,Reopened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Edit Profile,"Functionality Issue: User unable to add ""Username""",Profile >> Edit Profile,Medium,Medium,XRecorder_05082023_151204.mp4,User does not have rights to update username,"Comment: Please provide any error message
                  when user taps on ""Username"" field",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Edit Profile,UI Issue: Infinite Box Length Increase with Long Text Entry,Profile >> Edit Profile >> Address,Medium,Low,,,,,,,New Issue,IMG_20230918_102922.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Cooks,"UI Inconsistency: ""Add to Cart"" has two different UI designs within the application","Categories >> Cooks >> Non-veg >> Add to cart
Categories >> Saloon >> Scalp facial >> Add to cart",Medium,Medium,Screenshot_2023-08-05-11-15-25-731.jpg,based the timeslots they are showing like this.This is client requirement,Closed: As per Developer's Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Screenshot_2023-08-05-11-15-53-733.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Cooks,"UI Inconsistency: ""Book Now"" has two different UI designs within the application","Categories >> Cooks >> Non-veg >> Book Now
Categories >> Saloon >> Scalp facial >> Book Now",Medium,Medium,Screenshot_2023-08-05-11-15-45-732.jpg,based the timeslots they are showing like this.This is client requirement,Closed: As per Developer's Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, Screenshot_2023-08-05-11-15-20-730.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Book Service,"UI Inconsistency: There is a mismatch in the total amount displayed during
                            ""Book Service"" process & the corresponding Thank You message",Categories >> Plumber >> drain cleaning plumbing services >> Book Now >> Step 1 >>Step 2 >> Confirm >> Confirm Booking >> Confirmation Message >> ThankYou Message,Medium,Medium,IMG_20230805_115200.jpg,Working Fine,Reopened,XRecorder_18082023_121114.mp4,Done,Ravindra,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IMG_20230805_115215.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,"Plumber &
Cooks",Overlapping Issue(UI): There is an OverLapping of 'Featured Product' & 'Add to Cart' Icon,"Categories >> Plumber >> Drain Cleaning
Categories >> Cooks >> Non-veg",Low,Low,IMG_20230805_115043.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IMG_20230805_115057.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Book Service,"Functionality Issue: After receiving a confirmation message for booking a service,
                                the application allows users to return to Step 2
                                and book the same service multiple times without any restrictions.",Categories >> Security >> Security Cameras >> Book Now >> Step 1 >> Step 2 >> Confirm >> Confirm Booking >> Confirmation Message >> Tap on Back Button,Medium,Medium,XRecorder_04082023_165121.mp4,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,AC Repair,"Functionality Issue: When users attempt to add an item to their favourites, the application
                                fails or prevent the item from being added to the favourites list..",Categories >> AC Repair >> Windows AC >> Add to Favourite,Medium,High,IMG_20230804_105442.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
